asn,google_total_hits,facebook_total_hits,wikipedia_total_hits,imgur_total_hits,youtube_total_hits,total_hits
1,463,2,0,8,52,525
100,0,0,0,0,0,0
10000,316,1,0,0,0,317
10003,5699,39,6,2,1088,6834
10004,0,0,0,1,0,1
10006,0,1,0,0,0,1
10010,37272,2603,814,66,2958,43713
10011,3355,1,0,4,369,3729
10013,879,25,110,19,660,1693
10014,1,1,8,1,0,11
10019,6003,198,0,3,1227,7431
10021,1,0,0,0,0,1
10022,283,62,0,0,59,404
10024,1171,54,0,1,117,1343
10029,3471,542,191,90,162,4456
10030,0,3808,145,222,967,5142
10036,4319,12,2,7,894,5234
10037,6,0,0,0,94,100
10045,0,0,0,1,12,13
10049,0,0,0,0,0,0
10052,1228,0,26,2,26,1282
10054,36,0,2,0,1,39
10060,0,0,0,0,0,0
10066,474,0,0,0,240,714
10085,685,13,0,19,0,717
10088,8,1,0,0,0,9
10094,5652,3081,394,177,1819,11123
10098,528,2,0,0,9,539
10099,3101,14,58,61,97,3331
10101,501,4,8,1,103,617
10103,10440,305,1958,111,1765,14579
10118,4930,4,73,21,1090,6118
10126,8,0,0,1,0,9
10132,3054,1,0,3,135,3193
10137,878,19,87,0,159,1143
10139,14636,491,3833,151,7134,26245
10143,1140,862,366,22,1056,3446
10162,23,0,0,0,0,23
10164,3291,1,0,0,2,3294
10174,0,0,0,0,0,0
10175,0,0,0,0,0,0
10176,1,0,0,0,0,1
10194,978,0,39,0,1,1018
10197,147,0,0,0,1,148
10199,380,80,0,3,1,464
10212,5,0,0,0,0,5
10214,286,273,40,19,286,904
10217,5,213,121,11,0,350
10222,415,1,0,9,49,474
10225,0,44,82,5,0,131
10226,2813,1,2,12,230,3058
10242,0,0,0,0,0,0
10249,0,0,361,1,0,362
10279,296,0,0,0,0,296
103,0,0,0,0,0,0
10318,11301,2804,1649,316,3430,19500
10326,0,0,0,0,0,0
10352,16,0,98,0,0,114
10361,163,5,0,3,15,186
10364,0,0,0,0,0,0
10367,0,1,388,12,0,401
10384,0,0,0,0,0,0
10392,0,0,0,0,0,0
104,0,0,0,0,0,0
10412,557,4,144,6,2,713
10421,0,0,0,0,0,0
10423,0,0,0,0,0,0
10429,50379,5722,2147,914,16174,75336
10430,3198,61,11,1,414,3685
10439,0,0,0,0,0,0
10448,0,0,0,0,0,0
10455,0,0,0,0,0,0
10481,10201,2821,1166,251,2117,16556
10507,865,6,0,0,2,873
10508,0,0,0,0,0,0
10546,0,0,0,0,0,0
10594,842,25,147,28,271,1313
10617,3546,616,289,52,97,4600
10631,0,0,0,0,0,0
10670,169,0,0,0,1,170
10674,0,0,0,0,1,1
10689,0,0,0,0,0,0
10695,0,0,0,0,0,0
10697,2,1,18,0,0,21
10750,0,0,0,0,0,0
10753,542,76,15,15,0,648
10755,0,0,0,0,0,0
10778,608,196,288,3,112,1207
10796,161070,2106,15586,1354,47641,227757
10821,0,0,0,0,0,0
10834,3039,1650,1033,76,575,6373
10835,649,13,36,7,341,1046
10837,0,0,0,0,0,0
10838,25,2,157,8,0,192
10865,489,8,22,0,160,679
10879,0,0,0,0,0,0
10881,1455,35,58,6,27,1581
10882,0,0,189,19,0,208
109,549,3,0,0,58,610
10929,2025,114,74,3,311,2527
10947,1401,19,75,0,363,1858
10952,0,0,0,0,0,0
10954,1541,92,143,11,7,1794
10958,0,0,0,0,0,0
10967,247,1,0,0,11,259
10971,0,0,0,0,0,0
10973,544,5,31,4,229,813
10980,355,0,13,0,11,379
10991,0,0,0,1,0,1
10993,0,0,4,0,31,35
10996,2021,22,54,6,174,2277
1101,0,0,0,0,0,0
11014,3954,1391,486,234,550,6615
11015,0,0,0,0,0,0
1103,508,0,315,0,181,1004
11030,140,0,0,0,12,152
11038,852,70,160,37,396,1515
11039,1,0,0,0,0,1
11042,0,0,0,0,0,0
11045,266,2,26,2,35,331
11046,175,4,63,0,32,274
11050,0,0,0,0,0,0
11062,0,0,8,0,0,8
11071,2838,22,16,8,661,3545
11078,0,0,0,0,0,0
11080,619,7,2,1,97,726
11094,0,0,0,0,0,0
111,0,0,0,0,0,0
11109,0,0,0,0,0,0
11114,307,0,0,0,8,315
11118,10,0,10,0,0,20
11123,0,0,18,7,0,25
11126,0,0,0,0,0,0
11127,0,1,2,0,0,3
11138,0,0,0,0,0,0
11142,0,0,0,0,0,0
11152,0,0,0,0,0,0
11172,0,0,0,0,0,0
11178,2,0,38,0,0,40
11183,0,0,0,0,0,0
11191,4438,645,562,47,2316,8008
11195,579,7,125,1,251,963
11197,0,0,0,0,0,0
11203,384,116,6,0,94,600
11206,0,0,0,0,0,0
11214,0,0,0,0,0,0
11215,0,0,0,0,0,0
11232,0,0,0,0,1,1
11233,659,35,12,0,243,949
11240,0,0,0,0,0,0
11245,0,0,0,0,0,0
11252,0,0,0,0,0,0
11260,36991,1576,1725,74,9063,49429
11269,0,0,15,0,0,15
11272,22,0,0,0,0,22
11279,54,0,0,0,0,54
11283,33,0,0,0,8,41
11290,17004,1375,845,26,7167,26417
11315,375,12,0,10,168,565
11318,178,0,0,0,0,178
11320,0,0,0,0,0,0
1133,0,0,0,0,0,0
11338,2921,2,141,22,364,3450
11340,137,87,26,1,4,255
11348,0,0,0,0,0,0
11351,4168,17,8699,324,1,13209
11353,0,0,0,0,0,0
1136,0,0,1758,0,0,1758
11381,545,3,68,42,174,832
11404,21683,2095,1659,266,11192,36895
11414,3,0,0,7,2,12
11417,0,0,0,0,0,0
11419,1989,50,143,29,72,2283
11426,81248,1900,10382,924,38712,133166
11427,163,0,0,12,0,175
11432,4484,190,430,196,2407,7707
11442,717,1,0,0,8,726
11448,0,0,0,0,0,0
11452,0,0,0,0,0,0
11472,405,1,0,0,5,411
11478,2359,286,34,7,312,2998
11486,0,0,0,0,0,0
11492,54837,278,335,361,6829,62640
11514,107,53,0,14,11,185
11524,0,0,320,2,0,322
11525,0,0,0,0,0,0
11536,0,0,0,0,0,0
11550,0,0,102,0,0,102
11577,0,0,0,0,0,0
11584,0,0,0,0,0,0
11589,0,0,0,3,0,3
11590,118,0,0,0,0,118
11594,0,0,0,0,0,0
11597,0,0,0,0,0,0
11601,602,2,22,1,21,648
11606,0,2,56,1,0,59
11607,0,0,0,0,0,0
11620,371,155,91,4,115,736
11623,25,0,6,0,0,31
11624,720,2,32,2,27,783
11649,112,4,0,0,0,116
11650,0,0,0,0,0,0
11659,0,0,0,0,0,0
11663,63,1,0,0,0,64
11664,5992,2102,930,123,1125,10272
11668,0,0,4,0,0,4
11681,1112,23,82,17,380,1614
11686,268,1,121,0,4,394
11691,337,5,0,11,83,436
11693,1,0,0,0,0,1
11698,0,0,0,0,0,0
11708,0,0,0,0,0,0
11711,0,0,0,0,0,0
11714,0,0,0,0,0,0
11722,1842,102,568,0,710,3222
11727,913,29,0,4,236,1182
11738,0,0,0,0,0,0
11741,697,1,0,3,60,761
11745,0,0,0,0,0,0
11763,0,0,0,0,0,0
11776,61186,315,4640,176,12658,78975
11796,2,0,28,0,0,30
11802,1124,5,249,5,79,1462
11808,216,0,0,0,0,216
11809,0,0,0,0,0,0
11814,209,0,2,0,6,217
11815,720,538,161,81,291,1791
11827,477,2,0,2,123,604
11831,124,2,0,0,73,199
11834,0,0,0,3,0,3
11835,4997,25,447,18,314,5801
11844,2404,5,551,3,233,3196
11847,78,3,832,9,0,922
11870,276,0,0,0,0,276
11872,0,0,0,0,0,0
11878,0,0,0,0,0,0
11888,0,0,0,0,0,0
11904,0,0,0,0,0,0
11910,0,0,0,0,0,0
11915,23,0,0,0,0,23
11921,57,53,8,2,1,121
11924,1806,34,72,14,447,2373
11949,0,0,0,0,0,0
11955,0,0,0,0,0,0
11961,0,0,0,0,0,0
11970,0,0,0,0,0,0
11971,7,0,0,0,0,7
11975,155,0,0,0,0,155
11976,0,0,0,0,0,0
11979,0,0,0,0,0,0
11993,177,0,0,0,0,177
11994,1396,298,48,22,428,2192
11995,127,0,0,0,0,127
11998,0,0,0,0,0,0
12,0,0,2,0,0,2
12005,2,0,0,0,0,2
12009,1205,84,417,12,558,2276
1201,0,0,0,0,0,0
12013,0,0,0,0,0,0
12019,0,0,0,0,0,0
12025,1,0,0,4,0,5
12033,0,0,37,0,0,37
12042,0,0,0,0,0,0
12044,621,4,24,1,123,773
12046,105,5,0,2,5,117
12054,31,0,0,0,0,31
12056,1,0,139,4,0,144
12067,0,0,0,0,0,0
12069,200,0,35,1,42,278
12079,0,0,0,0,0,0
12083,2002,8,457,0,128,2595
12089,0,0,0,0,0,0
12094,0,1,237,11,0,249
12097,0,0,0,0,0,0
12118,786,1,0,0,18,805
12119,0,0,0,0,0,0
12129,0,0,0,0,0,0
1213,5422,366,98,0,400,6286
12132,608,19,29,6,208,870
12133,0,0,0,0,0,0
12135,574,4,282,0,160,1020
12145,0,0,0,0,0,0
12148,0,0,0,0,0,0
1215,2,0,0,0,0,2
12150,841,105,101,4,22,1073
12155,0,0,0,0,0,0
12173,0,0,0,0,0,0
12175,3636,42,134,41,628,4481
12177,0,0,0,0,0,0
12182,5,1,0,0,0,6
12183,247,6,125,21,92,491
12191,0,0,0,0,0,0
122,90,1,0,0,0,91
12208,57,0,49,0,1,107
1221,96553,8556,2283,923,58196,166511
12217,0,0,0,0,0,0
12231,8,0,0,0,0,8
12241,0,0,0,0,0,0
12257,0,0,0,0,0,0
1226,829,11,0,0,96,936
12261,0,0,8,0,0,8
12271,1908,26,10240,541,3,12718
12282,1,0,55,1,0,57
12285,0,0,0,0,0,0
12302,13,0,346,1,463,823
12310,4358,70,676,9,189,5302
12312,9137,455,684,0,211,10487
12322,1164,0,334,2,77,1577
12329,1172,16,99,3,104,1394
12334,0,0,118,4,333,455
12337,293,0,103,0,12,408
12338,26,0,98,5,188,317
12346,0,0,271,0,0,271
12350,312,0,416,1,609,1338
12353,143,0,33,0,187,363
12355,2435,43,242,0,18,2738
12357,0,0,0,0,12,12
12360,2555,19,250,12,263,3099
12361,0,0,8,1,220,229
1237,47,0,0,0,2,49
12386,0,0,76,0,0,76
12389,2539,2317,2347,49,658,7910
1239,3543,10,201,11,347,4112
12390,0,0,62,0,0,62
12392,0,0,467,0,0,467
12399,1135,34,76,4,22,1271
12406,2333,35,61,7,165,2601
1241,183,0,225,0,1049,1457
12414,0,0,101,0,0,101
12418,0,0,0,0,0,0
12426,77,0,23,0,2,102
12430,2403,0,925,0,2012,5340
12443,2,1,0,0,1,4
12445,1023,30,0,7,62,1122
12453,219,2,57,0,0,278
1246,14,0,160,2,0,176
12479,1588,0,1257,9,2832,5686
12481,713,40,70,13,78,914
1249,0,0,2,0,0,2
12508,0,1,14,0,0,15
12513,197,0,11,0,44,252
12519,0,0,26,0,0,26
12541,0,0,0,0,0,0
12552,20269,942,2725,54,3295,27285
12564,0,0,0,1,154,155
1257,27482,1039,1968,57,4440,34986
12570,0,1,285,0,65,351
12576,680,0,102,0,60,842
12578,7267,401,2485,49,5585,15787
12586,2067,11,180,0,377,2635
12597,1276,0,26,0,34,1336
12605,11,0,399,13,2727,3150
12611,5125,74,418,3,344,5964
12615,444,0,321,1,1020,1786
12618,0,0,0,0,0,0
12620,0,0,93,0,108,201
12626,0,0,23,0,9,32
12629,0,0,4,0,0,4
12663,252,0,0,0,0,252
12668,0,1,27,0,0,28
1267,72128,4252,1510,132,22606,100628
12670,205,0,19,0,1,225
12683,0,6,0,0,47,53
12684,2450,8,607,0,77,3142
12693,5283,197,1018,3,576,7077
12695,0,1,6,0,0,7
12703,0,0,0,0,0,0
12708,0,0,30,0,0,30
12709,25457,204,1567,52,2180,29460
12714,285,661,431,18,109,1504
12722,0,9,73,0,0,82
1273,500,31,217,2,0,750
12730,287,58,2,0,0,347
12734,65,0,0,0,0,65
12739,0,0,0,0,0,0
12741,0,0,146,0,0,146
12759,2088,44,187,0,141,2460
12767,0,0,216,0,69,285
12772,287,6,8,0,0,301
12779,884,10,153,12,44,1103
12782,59,0,0,0,1,60
12793,4943,104,396,8,123,5574
12810,6028,565,979,11,589,8172
12816,2432,1,467,0,243,3143
12829,40,0,151,2,453,646
12831,0,0,4,0,0,4
12835,966,58,52,17,18,1111
12843,3384,16,189,14,294,3897
12850,2083,25,338,3,35,2484
12859,0,0,249,0,0,249
12874,26118,987,2932,127,5666,35830
12876,1,0,4,39,190,234
12886,0,0,286,1,309,596
1289,0,0,0,0,0,0
12897,9294,82,427,7,289,10099
12905,77,0,80,0,8,165
12907,195,0,39,2,58,294
12929,863,2,173,0,452,1490
1294,0,0,0,0,0,0
12941,740,0,50,0,10,800
12942,0,0,0,0,0,0
12946,1,0,213,0,65,279
12958,0,36,26,1,2,65
12989,105,34,0,4,37,180
1299,543,8,49,2,112,714
12993,0,4,0,0,0,4
13009,0,0,6,0,0,6
13012,579,0,0,0,5,584
13030,1516,0,52,8,882,2458
13036,174,0,773,5,99,1051
13037,1072,0,208,5,0,1285
13041,4,0,0,0,3,7
13043,3,0,71,0,0,74
13045,5433,47,703,1,425,6609
13046,5449,129,678,6,144,6406
13055,0,14,24,0,0,38
13056,76,1,98,0,0,175
13070,65,0,0,0,8,73
13091,1,0,364,4,650,1019
13092,2215,207,189,1,78,2690
13097,4010,44,163,21,88,4326
131,0,0,0,0,0,0
13101,0,0,112,0,0,112
13105,9,1,0,0,0,10
131090,18523,4664,574,210,6629,30600
131111,6682,1773,662,96,1993,11206
13113,5389,27,662,5,488,6571
131178,825,260,152,8,559,1804
13118,26,3,2,1,0,32
13119,0,0,112,0,0,112
1312,356,1,0,0,3,360
131207,5216,1600,705,59,1765,9345
131210,614,192,24,17,29,876
131215,1722,716,337,109,442,3326
13122,0,0,518,0,0,518
13124,139,0,742,16,3095,3992
131267,3335,64,422,66,1873,5760
131269,1,3269,84,232,0,3586
13127,0,0,500,0,0,500
131285,933,44,0,5,4,986
131293,1793,1313,237,7,355,3705
131303,1198,4,50,2,68,1322
131306,434,2,4,16,49,505
131365,0,0,0,0,0,0
131385,150,0,0,2,3,155
131429,3497,621,148,92,959,5317
131442,1236,663,378,57,254,2588
131445,3412,963,65,152,2026,6618
131459,64,12,117,0,7,200
131463,136,41,0,3,10,190
131467,73,0,0,0,0,73
131476,649,176,144,0,88,1057
13150,453,23,4,10,11,501
13156,0,0,2,1,38,41
131584,2823,18,10,80,0,2931
131591,2401,47,12,4,3,2467
131596,24163,468,263,437,197,25528
131597,1499,32,25,30,0,1586
131600,5,3,0,0,0,8
131607,1217,18,4,28,0,1267
131627,7060,98,50,103,5,7316
13170,1701,147,133,1,31,2013
131706,921,226,250,5,438,1840
131711,852,151,224,2,279,1508
131713,449,23,87,1,122,682
131717,1532,506,372,10,523,2943
131722,8,5,0,0,1,14
131724,109,0,0,0,65,174
131735,280,47,134,1,48,510
131738,19,1,0,0,1,21
13174,0,1,72,0,0,73
131740,522,138,85,2,230,977
131743,132,1,0,0,0,133
131745,647,225,177,6,404,1459
131746,128,9,0,0,38,175
131749,575,262,57,1,180,1075
131754,0,0,0,0,0,0
131759,572,10,112,0,123,817
131767,352,6,6,2,25,391
131769,1497,549,151,21,766,2984
131773,88,2,130,4,5,229
131776,155,6,0,0,4,165
13178,0,1,0,0,0,1
13182,748,5,102,1,62,918
13189,6235,97,274,7,1645,8258
131897,567,3,6,0,9,585
131907,449,3,0,2,50,504
131911,0,0,0,0,0,0
131915,0,0,0,0,0,0
131916,0,0,0,0,0,0
131918,0,0,0,1,0,1
131920,376,1,0,6,132,515
131921,1,1,0,1,0,3
131923,1,1,0,0,0,2
131925,2387,21,6,24,1145,3583
131926,0,0,0,0,6,6
131928,509,0,0,0,11,520
13193,0,0,18,0,3,21
131931,3,0,2,0,0,5
131934,311,0,0,0,0,311
13194,1337,46,352,19,571,2325
131943,862,22,0,33,327,1244
131949,951,61,6,0,192,1210
131952,0,1,11,1,0,13
131958,2,3,0,0,63,68
131970,570,0,0,0,117,687
132021,676,52,219,30,351,1328
132035,0,137,0,0,0,137
132054,564,1,127,0,133,825
132061,336,4355,82,400,0,5173
132080,710,124,41,6,206,1087
132113,285,67,0,0,189,541
13213,164,2,263,10,67,506
132137,2681,797,961,80,529,5048
132196,0,1,0,0,0,1
132199,15955,952,3993,537,17942,39379
132203,30446,370,188,969,4524,36497
132215,280,86,118,10,13,507
132220,2458,1206,191,162,972,4989
132280,0,528,75,8,0,611
132296,2635,950,754,127,830,5296
132335,113,240,9,6,20,388
132356,30,103,0,0,8,141
13237,5520,219,922,17,89,6767
132372,0,7,54,0,0,61
132400,863,16,264,27,282,1452
132423,68,58,0,13,1,140
13243,1075,13,100,0,11,1199
132445,613,298,92,17,60,1080
132453,0,0,0,0,0,0
132454,435,0,217,0,2,654
132497,1413,485,689,63,225,2875
132508,5,0,0,0,8,13
132513,0,0,2,0,0,2
132515,44,8,69,1,4,126
132518,215,14,20,0,7,256
132519,334,63,0,6,28,431
132523,67,16,13,3,8,107
132524,0,0,0,0,0,0
132525,284,3,6,0,8,301
132529,543,252,71,21,323,1210
132547,540,179,116,26,118,979
132556,320,529,757,45,74,1725
132559,0,71,154,5,0,230
132562,24,74,27,1,0,126
132566,299,81,244,11,30,665
132570,282,169,141,14,126,732
132573,782,161,318,15,77,1353
132585,5481,44,217,49,157,5948
132590,559,171,0,1,145,876
132597,144,1,0,6,23,174
132599,275,129,46,0,53,503
132615,1549,49,268,0,72,1938
132618,0,399,30,26,0,455
132637,716,226,143,22,277,1384
132641,456,47,63,1,10,577
132649,135,8,76,0,16,235
132652,732,425,259,12,419,1847
132653,568,122,143,13,399,1245
132669,287,59,144,4,102,596
132676,276,41,0,7,9,333
132688,0,96,0,4,0,100
13272,1027,15,23,1,193,1259
132730,813,132,142,3,126,1216
132751,477,141,268,14,68,968
132752,574,349,287,47,399,1656
132761,568,375,283,25,197,1448
132764,85,16,143,1,12,257
132768,543,256,294,12,120,1225
132770,7174,3800,3802,444,2751,17971
132774,0,520,240,71,0,831
132785,65,1,116,0,1,183
132787,0,7,44,0,0,51
13280,11977,1380,692,12,4337,18398
132839,4146,2,0,25,72,4245
13285,1268,0,245,17,390,1920
132882,0,98,0,0,0,98
132890,0,25,13,0,0,38
13292,515,10,0,0,8,533
132923,1400,814,584,74,365,3237
132924,0,244,80,24,0,348
132931,0,8,0,0,0,8
132933,1960,661,995,79,746,4441
132935,258,75,89,8,16,446
132956,1,30,2,13,16,62
132957,202,15,0,3,53,273
132958,286,30,144,12,93,565
132961,0,20,2,1,0,23
132964,325,251,229,4,27,836
132971,276,46,19,16,42,399
132972,285,120,116,13,132,666
132976,1467,1020,608,115,735,3945
132988,267,77,141,13,181,679
132996,1388,585,714,51,552,3290
133000,0,110,150,2,0,262
133001,3186,1218,1456,167,977,7004
133007,426,138,287,11,139,1001
133014,0,214,58,12,0,284
13303,0,0,19,16,451,486
13306,0,0,4,0,23,27
133070,858,372,317,28,344,1919
133073,273,1,0,2,4,280
133107,861,9,12,5,98,985
133115,1896,34,4,5,128,2067
133119,87,10,0,0,0,97
133125,84,12,0,0,0,96
133226,735,177,319,17,97,1345
133234,922,643,419,70,310,2364
133235,28,6,114,0,2,150
133237,170,22,66,3,32,293
133243,287,138,130,17,139,711
133244,38,32,0,1,19,90
133246,930,350,425,42,262,2009
133249,245,88,144,6,91,574
133255,2040,863,1087,96,654,4740
133257,286,225,141,21,164,837
13326,0,0,0,0,0,0
133269,223,42,112,5,9,391
13327,0,0,0,0,0,0
133287,285,533,12,48,243,1121
13329,0,0,0,0,0,0
133296,305,82,141,11,87,626
133301,842,345,397,19,322,1925
133304,251,103,141,7,89,591
133309,456,296,359,26,101,1238
133311,2337,1186,1411,120,825,5879
133315,893,200,270,29,88,1480
13333,4898,872,344,21,1011,7146
133333,548,218,0,1,268,1035
133334,2403,26,740,47,480,3696
13335,1810,727,50,59,865,3511
133352,254,17,0,0,33,304
133354,410,21,96,3,32,562
133360,242,120,126,2,178,668
13337,0,0,0,0,0,0
133380,1468,15,10,36,227,1756
133389,654,59,0,7,257,977
133398,300,1,0,6,10,317
133408,0,70,0,1,0,71
133414,6439,280,9,15,4727,11470
133421,288,1,72,0,0,361
133449,5,5,0,0,1,11
133469,1218,363,288,32,101,2002
133480,519,306,6,36,455,1322
133481,11595,8323,577,589,5932,27016
13351,0,0,0,0,0,0
133527,117,0,0,5,5,127
13353,519,155,0,4,25,703
13356,0,0,0,0,0,0
13357,478,5,0,7,30,520
133590,435,199,287,29,156,1106
133597,1,5,78,0,0,84
133598,109,86,143,16,61,415
133612,6028,843,138,294,5384,12687
133613,6550,128,1278,103,1557,9616
133623,827,3,127,4,323,1284
133647,24,4,0,0,30,58
133658,229,44,143,7,16,439
133660,0,271,143,28,0,442
133662,346,134,144,17,113,754
133674,487,240,284,22,216,1249
133678,0,191,78,8,0,277
133679,269,158,93,17,54,591
13368,0,0,0,0,0,0
133680,0,15,74,6,0,95
133684,272,120,0,8,22,422
133685,0,233,150,14,0,397
133695,845,327,345,21,217,1755
13370,4217,514,1532,41,2624,8928
13371,0,0,0,0,0,0
133713,107,48,193,11,3,362
133720,4114,1719,1858,204,1253,9148
133724,318,60,15,6,143,542
133726,252,108,143,16,54,573
133730,562,301,78,7,298,1246
133736,1913,806,339,29,848,3935
133752,1521,4,4,49,196,1774
133762,130,2,0,3,53,188
133774,1715,348,11,26,176,2276
133775,1053,5,0,0,3,1061
133797,188,2,0,0,1,191
133798,540,46,10,1,89,686
133799,224,1,0,1,3,229
133800,2072,258,387,18,443,3178
133809,574,31,8,10,82,705
13381,238,148,0,6,22,414
133811,526,24,0,0,63,613
133815,569,274,177,7,83,1110
133817,155,5,0,0,6,166
133819,116,48,0,0,37,201
133823,788,26,47,7,275,1143
13388,1,0,0,0,0,1
13392,0,0,0,0,0,0
133929,1778,23,40,66,130,2037
133968,567,345,261,53,233,1459
133971,2,87,78,7,0,174
133977,340,157,378,34,67,976
133982,1722,1131,311,151,557,3872
133983,80,22,31,1,13,147
133994,284,145,123,26,55,633
133996,8,6,15,1,2,32
133997,926,437,534,35,395,2327
134000,643,308,261,31,214,1457
134004,774,157,185,22,62,1200
134005,267,108,2,13,70,460
134006,1373,557,726,73,441,3170
134008,513,210,143,30,65,961
134009,572,402,282,32,317,1605
134012,287,117,10,20,54,488
134014,1056,424,448,53,267,2248
134016,0,9,0,0,0,9
134019,52,1,0,0,0,53
134021,0,245,72,19,27,363
134022,1136,639,226,90,397,2488
134032,52,466,316,29,0,863
134033,35,632,327,81,71,1146
134041,0,0,0,0,0,0
134042,1036,442,422,54,211,2165
134047,286,258,143,20,190,897
134052,163,149,76,13,0,401
134053,1727,930,823,85,506,4071
134054,0,121,78,8,0,207
134055,563,359,284,36,290,1532
134059,307,47,227,11,54,646
134067,1873,666,139,50,1169,3897
134078,2151,576,247,17,258,3249
134090,572,293,153,89,540,1647
134100,1,47,0,0,0,48
134139,1419,1350,545,58,899,4271
134141,1583,853,31,3,238,2708
13415,0,0,13,1,13,27
134166,2,8,0,0,17,27
134196,9,0,0,0,2,11
134238,408,19,0,0,0,427
134254,1088,426,506,35,215,2270
134256,78,90,28,11,17,224
134257,362,92,143,0,25,622
134258,286,194,141,18,119,758
134260,0,12,56,3,0,71
134262,286,149,139,16,145,735
134265,298,114,177,16,59,664
134269,15,31,98,1,1,146
13427,1076,16,2,0,371,1465
134273,219,33,0,4,31,287
134274,123,20,105,4,16,268
134277,24,96,0,0,1,121
134278,384,156,258,26,61,885
13428,0,0,164,1,0,165
134280,56,26,54,1,8,145
134290,286,126,143,6,133,694
134293,763,209,311,20,278,1581
134304,308,99,161,19,60,647
134305,0,234,219,21,0,474
134307,527,123,44,22,146,862
134312,791,163,418,15,90,1477
134313,284,125,143,28,152,732
134316,0,34,0,0,0,34
134325,547,47,141,18,20,773
134326,83,469,255,31,0,838
134329,480,147,139,20,45,831
134331,1511,593,188,60,276,2628
134334,287,68,114,6,39,514
134343,661,205,107,45,123,1141
134366,137,0,0,2,5,144
134419,1185,4,0,0,0,1189
134420,861,28,6,0,0,895
134431,1167,3,146,2,68,1386
134451,411,342,6,29,116,904
13451,866,71,140,9,586,1672
134520,1172,28,0,32,161,1393
134540,1413,643,253,32,299,2640
134543,1399,10,28,6,30,1473
134548,10858,38,468,91,708,12163
134553,0,304,35,4,0,343
134564,271,201,2,1,84,559
134630,403,94,107,4,31,639
134635,8,2,4,0,0,14
134639,256,30,78,0,8,372
134641,27,4,17,0,2,50
134643,369,35,98,2,46,550
134648,360,39,139,4,150,692
134651,99,33,80,3,49,264
134655,1093,243,209,27,513,2085
134674,931,892,580,63,339,2805
134687,567,0,10,0,21,598
134697,1716,1137,463,113,1271,4700
134707,1675,178,339,77,1202,3471
134710,415,1,6,0,9,431
134711,286,283,143,28,288,1028
13476,205,0,0,0,3,208
134760,10,13,0,0,0,23
134762,927,244,2,0,14,1187
134764,512,32,15,0,8,567
134768,1295,154,0,0,1,1450
134771,738,142,2,8,26,916
134772,9591,1545,410,17,613,12176
134773,26190,3841,1149,114,2179,33473
134775,1333,184,148,3,10,1678
134802,533,15,130,8,171,857
134809,0,526,76,1,0,603
134810,461,73,2,0,220,756
134829,256,0,0,0,2,258
13485,0,0,2,0,0,2
134850,222,57,141,9,25,454
134855,689,171,283,22,173,1338
134861,44,1,0,0,0,45
134862,0,0,0,0,0,0
134863,0,1,0,1,0,2
134866,186,42,276,2,22,528
134869,1,173,74,10,0,258
134870,364,243,143,23,151,924
134871,285,79,56,10,57,487
134873,0,149,0,23,49,221
134875,444,88,141,32,29,734
134877,0,1054,434,103,0,1591
134878,0,121,36,18,0,175
134881,223,54,0,8,30,315
134883,211,42,113,7,39,412
134885,254,188,146,12,81,681
134886,274,84,108,10,73,549
134892,0,83,76,7,0,166
134897,70,8,9,4,5,96
134899,623,116,173,24,43,979
13490,0,0,0,0,0,0
134903,0,56,46,0,0,102
134907,250,112,92,12,5,471
134911,0,18,0,0,0,18
134913,1146,863,572,89,624,3294
134916,261,33,168,0,33,495
134918,0,165,143,15,0,323
134922,572,358,283,31,211,1455
134929,571,246,290,22,115,1244
134933,195,13,4,0,24,236
134937,814,303,308,45,210,1680
134942,244,68,138,9,72,531
134980,0,0,0,0,0,0
134996,700,8,191,2,19,920
135025,1916,26,351,3,439,2735
135034,572,184,2,0,124,882
135036,550,225,282,40,364,1461
135060,1685,1285,663,18,828,4479
135061,13,1,0,0,0,14
1351,44,0,13,0,0,57
13512,438,2,2,6,57,505
135126,1609,1147,576,130,1099,4561
135139,0,519,236,39,97,891
135177,287,132,76,23,69,587
135180,266,57,141,8,45,517
135182,0,1,0,0,0,1
135184,287,163,144,17,130,741
135189,333,274,225,30,178,1040
135202,0,18,94,7,0,119
135206,0,80,80,4,0,164
135207,208,48,143,7,54,460
135212,0,0,0,0,0,0
135214,264,124,137,9,27,561
135215,36,2,0,1,1,40
135216,0,138,18,9,0,165
135217,884,481,324,38,163,1890
135218,168,85,128,10,8,399
135225,0,343,230,23,0,596
135227,235,78,76,4,6,399
135232,0,84,0,0,0,84
135234,284,201,143,9,155,792
135239,879,575,569,50,436,2509
135241,302,128,0,13,63,506
135242,1,78,141,6,0,226
135244,0,376,386,47,0,809
135247,1,745,301,55,0,1102
135256,300,191,21,1,83,596
135257,1116,524,572,60,421,2693
135259,249,81,0,7,25,362
135261,378,179,284,32,157,1030
135262,12,0,0,0,0,12
135267,460,117,282,5,45,909
135269,528,305,141,37,253,1264
135330,717,14,0,35,160,926
135333,265,13,4,4,5,291
13534,0,0,0,0,0,0
135345,1737,33,258,2,599,2629
135356,1040,98,8,34,67,1247
13536,65,3,1221,28,0,1317
135360,11,0,0,0,0,11
135366,395,3,105,0,82,585
135373,1464,7,56,57,77,1661
135375,163,13,62,0,1,239
135377,510,19,6,6,5,546
135386,1068,6,2,20,6,1102
135391,2456,11,21,24,105,2617
