asn,google_total_hits,facebook_total_hits,wikipedia_total_hits,imgur_total_hits,youtube_total_hits,total_hits
53219,171,16,141,4,33,365
53222,1708,25,141,39,333,2246
53223,1185,2,0,0,85,1272
53224,895,0,0,0,20,915
53227,730,24,0,13,140,907
53230,1069,9,0,13,160,1251
53231,1149,53,0,34,659,1895
53232,637,5,246,0,45,933
53233,6,95,0,0,1,102
53234,831,37,0,33,294,1195
53237,3429,76,284,50,326,4165
53238,714,22,0,8,116,860
53239,884,45,0,6,93,1028
53240,2699,13,430,12,569,3723
53241,694,9,0,4,80,787
53242,2188,26,0,15,157,2386
53245,734,9,144,25,398,1310
53246,537,132,144,1,4,818
53256,80,0,31,0,0,111
53259,0,0,0,0,0,0
53271,0,0,0,0,0,0
53274,0,0,66,17,101,184
53280,0,0,0,0,0,0
53282,0,0,0,0,0,0
53292,0,0,0,0,0,0
53301,0,0,0,0,0,0
53338,29,0,0,0,0,29
53347,0,0,0,0,0,0
53355,0,0,0,0,0,0
53407,0,0,0,0,0,0
53423,0,0,0,0,0,0
53435,0,0,0,0,0,0
53449,0,0,0,0,0,0
53460,0,0,0,0,0,0
53488,326,0,688,16,16,1046
53507,0,0,0,0,0,0
53508,0,0,0,0,0,0
53513,452,2,42,0,21,517
53536,492,65,126,3,220,906
53543,1155,10,0,1,281,1447
53548,375,45,139,7,294,860
53586,0,0,0,0,0,0
53587,19,0,0,0,0,19
53610,0,0,0,0,0,0
53641,263,3,0,4,16,286
53646,0,0,0,0,0,0
53667,2,3,9,92,0,106
53695,0,0,0,0,0,0
53703,0,0,0,0,0,0
53726,0,0,0,0,0,0
53732,0,0,0,0,0,0
53755,0,0,0,16,283,299
53766,337,2,20,11,19,389
5378,845,0,86,11,360,1302
53813,1156,581,128,51,488,2404
53823,436,9,58,2,149,654
53828,202,0,0,0,4,206
53832,0,0,0,0,0,0
53836,0,0,119,7,0,126
53848,1,0,0,0,0,1
5385,0,0,78,0,321,399
53859,550,53,8,14,329,954
53896,1004,43,359,8,620,2034
5390,0,0,0,0,0,0
53907,87,0,4,2,2,95
53913,0,1,17,0,0,18
5394,6946,173,659,22,925,8725
53949,0,0,0,0,0,0
53959,1,0,0,4,0,5
5396,7941,349,616,21,288,9215
53971,699,1,13,0,15,728
53989,116,0,13,0,0,129
5400,2237,18,858,1,0,3114
54004,1,0,132,8,0,141
54006,0,0,0,0,0,0
54039,0,0,0,0,0,0
54057,0,0,0,0,0,0
54075,0,0,0,0,0,0
5408,399,12,65,6,3,485
54084,0,0,0,0,0,0
5410,4222,0,1031,3,373,5629
54115,272,0,0,0,1,273
54119,622,1,0,2,50,675
5413,240,0,111,7,13,371
54133,0,0,0,0,0,0
54139,1266,14,84,0,406,1770
54142,0,0,92,0,0,92
54154,1430,17,20,7,183,1657
54155,0,0,0,0,0,0
54182,1623,53,170,9,487,2342
54198,4252,69,220,46,797,5384
54221,435,5,78,11,83,612
54225,0,0,0,0,0,0
54239,0,0,0,0,0,0
54240,0,0,0,0,0,0
5429,0,3,91,0,1,95
54290,0,0,0,0,0,0
54301,0,0,0,7,0,7
54314,60,1,0,4,2,67
5432,215,0,1429,3,21,1668
54326,0,0,0,0,0,0
54327,809,24,141,2,185,1161
54328,0,0,0,0,0,0
54329,1404,0,0,0,0,1404
54337,15,0,0,0,0,15
54359,633,3,0,1,58,695
54373,0,0,0,0,0,0
54448,100,10,118,22,78,328
54458,288,19,105,10,116,538
54483,279,5,17,0,0,301
54501,0,0,0,0,0,0
54507,0,0,0,0,0,0
54512,0,0,0,0,0,0
54519,0,0,0,0,0,0
54540,0,0,0,0,0,0
54574,970,1,0,16,112,1099
54578,0,0,0,0,0,0
54579,0,0,0,0,0,0
54600,1201,149,11,44,746,2151
54607,0,0,0,0,0,0
54614,6576,23,400,12,1690,8701
54640,0,0,0,0,0,0
54646,681,3,2,0,75,761
54648,274,0,0,1,3,278
