asn,google_avg_hit_rate,facebook_avg_hit_rate,wikipedia_avg_hit_rate,imgur_avg_hit_rate,youtube_avg_hit_rate,avg_hit_rate
1,53.70333333333334,0.3466666666666667,0.0,12.5,6.363333333333333,14.582666666666668
100,0.0,0.0,0.0,0.0,0.0,0.0
10000,36.69,0.11666666666666665,0.22999999999999998,0.0,0.0,7.407333333333332
10003,24.809124999999995,0.19974999999999996,0.060750000000000005,0.15625,4.8226250000000075,6.0097000000000005
10004,0.0,0.0,0.0,8.33,0.0,1.666
10006,0.0,0.35,0.0,0.0,0.0,0.06999999999999999
10010,14.14427015250548,1.0602505446623174,0.672276688453162,0.3359368191721135,1.2034531590413864,3.483237472766892
10011,23.83775510204081,0.007142857142857143,0.014081632653061223,0.3404081632653061,2.7699999999999987,5.393877551020406
10013,1.7440112994350305,0.05898305084745759,0.4745197740112993,0.494406779661017,1.3221468926553672,0.8188135593220343
10014,0.06999999999999999,0.06999999999999999,1.1119999999999999,0.834,0.0,0.41719999999999996
10019,22.2295744680851,0.7832978723404246,0.014680851063829787,0.1330851063829787,4.7238297872340445,5.576893617021275
10021,0.11666666666666665,0.0,0.0,0.0,0.0,0.02333333333333333
10022,32.98333333333333,7.406666666666666,0.0,0.0,6.946666666666666,9.467333333333332
10024,27.222,1.3193333333333335,0.046,0.27799999999999997,2.8013333333333335,6.333333333333333
10029,20.185499999999994,3.2233333333333314,2.3489999999999993,6.667000000000002,1.0015,6.685266666666665
10030,0.0,15.934761904761903,1.2645238095238094,11.706666666666662,4.0634523809523815,6.593880952380951
10036,4.2155524861878355,0.011602209944751382,0.038149171270718214,0.09207182320441988,0.8805801104972394,1.0475911602209929
10037,0.05951219512195123,0.0,0.0,0.0,0.7963414634146341,0.17117073170731706
10045,0.0,0.0,0.0,1.0425,1.0425,0.417
10049,0.0,0.0,0.0,0.0,0.0,0.0
10052,13.498437500000001,0.0,0.7803125000000003,0.390625,0.3584374999999998,3.0055625000000004
10054,3.2125,0.0,0.3475,0.0,0.0875,0.7295
10060,0.0,0.0,0.0,0.0,0.0,0.0
10066,5.03969696969697,0.0,0.04181818181818182,0.0,2.567272727272728,1.529757575757576
10085,15.927333333333332,0.36999999999999994,0.184,6.3886666666666665,0.0,4.574
10088,0.39,0.04375,0.0,0.0,0.0,0.08675000000000001
10094,32.88133333333332,17.96283333333333,4.595166666666666,12.569666666666665,10.659333333333336,15.733666666666664
10098,12.406666666666665,0.04666666666666666,0.046,0.0,0.25466666666666665,2.5507999999999997
10099,28.472631578947375,0.16447368421052627,1.078421052631579,6.798684210526318,0.9592105263157897,7.4946842105263185
10101,17.465,0.20800000000000002,0.625,0.417,3.6110000000000007,4.4652
10103,19.36537234042551,0.6317021276595735,7.578670212765972,2.7264893617021295,3.412872340425532,6.7430212765957425
10118,27.287619047619028,0.022063492063492063,0.9912698412698409,1.6533333333333333,6.134126984126984,7.217682539682535
10126,0.9266666666666666,0.0,0.0,2.776666666666667,0.0,0.7406666666666667
10132,20.98254901960784,0.013529411764705882,0.0,0.24529411764705883,1.0417647058823531,4.456627450980392
10137,34.06666666666667,0.8099999999999999,7.096666666666666,0.0,6.326666666666666,9.66
10139,19.81069767441863,0.7157751937984494,10.57755813953487,2.584108527131782,9.722364341085253,8.682100775193797
10143,36.1109090909091,27.303636363636368,23.17,8.711818181818181,33.33363636363636,25.726
10162,8.33,0.0,0.0,0.0,0.0,1.666
10164,12.458817204301074,0.0037634408602150535,0.037096774193548385,0.0,0.007526881720430107,2.5014408602150535
10174,0.0,0.0,0.0,0.0,0.0,0.0
10175,0.0,0.0,0.0,0.0,0.0,0.0
10176,0.69,0.0,0.0,0.0,0.0,0.13799999999999998
10194,20.199411764705882,0.0,1.9182352941176475,0.0,0.020588235294117647,4.4276470588235295
